Age,Years at address,Employment status,Country,Current debt,Income,Own home,CCJs,Loan amount,Outcome
19,2,Unemployed,UK,0,45500,Rent,1,13234,Paid
66,13,Unemployed,UK,1080,18000,Own,0,5561,Paid
48,4,Self Employed,UK,3690,47500,Rent,1,28288,Paid
67,47,Self Employed,UK,6560,36000,Mortgage,0,30199,Paid
70,8,Self Employed,UK,9100,50500,Own,0,35078,Paid
77,5,Self Employed,UK,8850,14000,Mortgage,2,5513,Paid
28,3,Unemployed,UK,2150,49000,Own,1,6159,Paid
47,1,Unemployed,UK,2560,30500,Own,0,25813,Paid
25,8,Self Employed,UK,6130,40000,Own,0,25885,Paid
89,49,Employed,UK,1090,34500,Own,3,15398,Paid
78,46,Employed,UK,9820,36500,Own,0,18974,Defaulted
62,23,Self Employed,UK,980,22500,Own,0,20925,Paid
68,25,Employed,UK,9460,14500,Own,2,2218,Defaulted
73,28,Self Employed,UK,8550,52000,Rent,0,41973,Defaulted
72,25,Employed,UK,7790,51500,Rent,3,42697,Defaulted
20,1,Employed,UK,30,10500,Mortgage,1,4132,Paid
43,18,Employed,UK,500,22500,Mortgage,3,21901,Defaulted
83,37,Self Employed,UK,20,27500,Own,2,22036,Defaulted
65,33,Self Employed,UK,3700,31000,Mortgage,0,19737,Paid
82,32,Self Employed,UK,560,54000,Mortgage,1,31498,Paid
38,15,Unemployed,UK,1410,24500,Own,1,8089,Paid
44,4,Self Employed,UK,1940,12500,Mortgage,3,5589,Defaulted
76,47,Self Employed,UK,4710,15000,Mortgage,0,318,Paid
81,58,Employed,UK,2620,20000,Mortgage,1,14218,Defaulted
19,2,Self Employed,UK,780,40000,Own,0,27177,Defaulted
35,9,Self Employed,UK,1400,33000,Own,2,17267,Defaulted
69,2,Self Employed,UK,10,42000,Own,0,7422,Paid
30,1,Self Employed,UK,150,51500,Own,0,29792,Paid
68,1,Self Employed,UK,3530,44500,Own,2,27439,Defaulted
26,7,Unemployed,UK,4480,26500,Own,3,9548,Defaulted
88,23,Self Employed,UK,4100,34500,Own,0,16079,Paid
79,25,Self Employed,UK,150,52000,Mortgage,0,18079,Paid
61,21,Self Employed,UK,660,50000,Rent,0,13624,Paid
66,35,Unemployed,UK,1030,32000,Own,0,19593,Paid
19,2,Self Employed,UK,1640,24000,Own,2,20772,Defaulted
72,4,Self Employed,UK,1050,22500,Mortgage,0,4019,Paid
67,27,Self Employed,UK,8520,53000,Mortgage,2,313,Defaulted
45,2,Employed,UK,1290,39500,Mortgage,1,1976,Paid
85,10,Self Employed,UK,3460,51000,Own,0,1584,Paid
35,3,Self Employed,UK,2310,18000,Mortgage,3,9708,Defaulted
85,23,Self Employed,UK,7160,28500,Own,0,13706,Paid
26,2,Unemployed,UK,3490,53500,Own,0,47213,Paid
56,37,Unemployed,UK,8380,53000,Own,2,47823,Paid
21,3,Self Employed,UK,8260,42000,Own,3,26356,Paid
85,62,Unemployed,UK,290,47500,Mortgage,0,10257,Paid
62,43,Unemployed,UK,9790,12500,Own,3,3902,Defaulted
73,30,Unemployed,UK,7240,23000,Rent,0,20771,Paid
22,3,Self Employed,UK,3880,26500,Mortgage,0,17311,Paid
85,2,Unemployed,UK,7340,46000,Own,0,28556,Paid
79,27,Self Employed,UK,0,43000,Rent,2,23590,Defaulted
81,15,Self Employed,UK,1800,17500,Own,0,2129,Paid
27,1,Unemployed,UK,4970,33500,Mortgage,0,23788,Defaulted
